changeseq_run	lab	target_site	total_count	total_on_target	total_off_target	off_target_ratio	total_substitution_only_seqs	total_indels_only	total_sub_or_indel	top_quarter_offtarget_readcount	off_target_max	on_off_max_ratio	Site_Substitution_Number	substitution_read_count
NNN_A_CCR5_site_3	NNN	A_CCR5_site_3	13269	767	12502	0.9421960961639912	609	510	792	5736	82	9.353658536585366	3	638
NNN_A_CCR5_site_3	NNN	A_CCR5_site_3	13269	767	12502	0.9421960961639912	609	510	792	5736	82	9.353658536585366	4	2590
NNN_A_CCR5_site_3	NNN	A_CCR5_site_3	13269	767	12502	0.9421960961639912	609	510	792	5736	82	9.353658536585366	5	4023
NNN_A_CCR5_site_3	NNN	A_CCR5_site_3	13269	767	12502	0.9421960961639912	609	510	792	5736	82	9.353658536585366	6	2302
NNN_B_CCR5_site_8	NNN	B_CCR5_site_8	826	162	664	0.8038740920096852	77	70	77	186	24	6.75	2	40
NNN_B_CCR5_site_8	NNN	B_CCR5_site_8	826	162	664	0.8038740920096852	77	70	77	186	24	6.75	3	160
NNN_B_CCR5_site_8	NNN	B_CCR5_site_8	826	162	664	0.8038740920096852	77	70	77	186	24	6.75	4	312
NNN_B_CCR5_site_8	NNN	B_CCR5_site_8	826	162	664	0.8038740920096852	77	70	77	186	24	6.75	5	82
NNN_B_CCR5_site_8	NNN	B_CCR5_site_8	826	162	664	0.8038740920096852	77	70	77	186	24	6.75	6	70
NNN_C_TRAC_site_1	NNN	C_TRAC_site_1	3775	522	3253	0.8617218543046358	201	170	215	2124	92	5.673913043478261	3	506
NNN_C_TRAC_site_1	NNN	C_TRAC_site_1	3775	522	3253	0.8617218543046358	201	170	215	2124	92	5.673913043478261	4	858
NNN_C_TRAC_site_1	NNN	C_TRAC_site_1	3775	522	3253	0.8617218543046358	201	170	215	2124	92	5.673913043478261	5	1046
NNN_C_TRAC_site_1	NNN	C_TRAC_site_1	3775	522	3253	0.8617218543046358	201	170	215	2124	92	5.673913043478261	6	613
NNN_D_CXCR4_site_7	NNN	D_CXCR4_site_7	468	110	358	0.7649572649572649	50	48	53	110	20	5.5	2	14
NNN_D_CXCR4_site_7	NNN	D_CXCR4_site_7	468	110	358	0.7649572649572649	50	48	53	110	20	5.5	3	6
NNN_D_CXCR4_site_7	NNN	D_CXCR4_site_7	468	110	358	0.7649572649572649	50	48	53	110	20	5.5	4	90
NNN_D_CXCR4_site_7	NNN	D_CXCR4_site_7	468	110	358	0.7649572649572649	50	48	53	110	20	5.5	5	72
NNN_D_CXCR4_site_7	NNN	D_CXCR4_site_7	468	110	358	0.7649572649572649	50	48	53	110	20	5.5	6	154
NNN_E_CTLA4_site_9	NNN	E_CTLA4_site_9	11293	1158	10135	0.897458602674223	289	264	316	9185	374	3.0962566844919786	2	610
NNN_E_CTLA4_site_9	NNN	E_CTLA4_site_9	11293	1158	10135	0.897458602674223	289	264	316	9185	374	3.0962566844919786	3	1734
NNN_E_CTLA4_site_9	NNN	E_CTLA4_site_9	11293	1158	10135	0.897458602674223	289	264	316	9185	374	3.0962566844919786	4	2768
NNN_E_CTLA4_site_9	NNN	E_CTLA4_site_9	11293	1158	10135	0.897458602674223	289	264	316	9185	374	3.0962566844919786	5	2783
